iter	Logloss
0	0.4214894729
1	0.265436494
2	0.1772050744
3	0.1261506528
4	0.09626907978
5	0.07825190836
6	0.06713938614
7	0.05992464676
8	0.05520873883
9	0.05206294855
10	0.04994914499
11	0.04848884695
12	0.04744997634
13	0.04668881095
14	0.046182647
15	0.04580585751
16	0.04552294282
17	0.04533775471
18	0.04520356249
19	0.04510557859
20	0.04502752126
21	0.04496932763
22	0.04493077049
23	0.04489946006
24	0.04487750102
25	0.04485851842
26	0.04484365724
27	0.0448317382
28	0.04482195555
29	0.04481398343
30	0.0448104063
31	0.044807867
32	0.04476592025
33	0.0447495947
34	0.04474872763
35	0.04474791471
36	0.04473664258
37	0.04472947286
38	0.0447154047
39	0.04471338722
40	0.04470686014
41	0.04470264892
42	0.04469857674
43	0.04469360291
44	0.04469215522
45	0.04468859722
46	0.04468826769
47	0.04468406031
48	0.04467536711
49	0.04467477386
50	0.04467477202
51	0.0446613472
52	0.0446577137
53	0.04465771369
54	0.04465549677
55	0.044654811
56	0.044654811
57	0.04465465642
58	0.04464997936
59	0.0446499793
60	0.04464933771
61	0.04464392638
62	0.04464392613
63	0.04464345856
64	0.04464283246
65	0.04463499728
66	0.04463443319
67	0.04463443292
68	0.04462586333
69	0.04462565579
70	0.04462565577
71	0.04462565507
72	0.04461699461
73	0.04461535096
74	0.04461238521
75	0.04460485205
76	0.04460485021
77	0.04460393456
78	0.0446039335
79	0.0445993269
80	0.04459932583
81	0.04459837864
82	0.04459731797
83	0.04459721638
84	0.04459689529
85	0.04459526321
86	0.04459526312
87	0.04459479172
88	0.04459421626
89	0.04459210673
90	0.04459193248
91	0.04459155153
92	0.04458748976
93	0.0445864745
94	0.04458559993
95	0.04457982574
96	0.04457779573
97	0.04457779519
98	0.04457236167
99	0.04457201059
100	0.04456882595
101	0.04456853585
102	0.0445604625
103	0.04455006682
104	0.04453743481
105	0.04453244414
106	0.04453025919
107	0.0445302219
108	0.04451726388
109	0.04451020931
110	0.04450092699
111	0.04449166661
112	0.04449019386
113	0.04448693853
114	0.04447905591
115	0.04447893074
116	0.04446935765
117	0.04446849135
118	0.04446734444
119	0.04446347442
120	0.04446345781
121	0.04446047778
122	0.04446045937
123	0.04445007315
124	0.04444757877
125	0.04444701289
126	0.04444698116
127	0.04444697126
128	0.04443630198
129	0.04443154585
130	0.04442454203
131	0.04442388039
132	0.04440726832
133	0.04440048376
134	0.04440046339
135	0.04440043435
136	0.04439994356
137	0.04439918348
138	0.04439876797
139	0.04439182934
140	0.04439152543
141	0.04439151804
142	0.04438839181
143	0.04438813894
144	0.04438813667
145	0.04438193615
146	0.044381584
147	0.04437959572
148	0.04437529838
149	0.04437422524
150	0.04436799979
151	0.04436594764
152	0.04435609822
153	0.04435268215
154	0.04435140878
155	0.0443458846
156	0.04434587674
157	0.04434587079
158	0.04434423694
159	0.04434423065
160	0.04434403495
161	0.04433943558
162	0.04433093508
163	0.04432487736
164	0.04432487196
165	0.04431929764
166	0.04431309747
167	0.04431257399
168	0.0443125653
169	0.04431255932
170	0.04431135735
171	0.04431135432
172	0.04430643794
173	0.04430024734
174	0.04430022699
175	0.0442983053
176	0.04429544873
177	0.04429421265
178	0.04428940493
179	0.04428407276
180	0.04428406592
181	0.04428195053
182	0.04428194797
183	0.04428154969
184	0.0442770506
185	0.0442770486
186	0.04427387064
187	0.04427014262
188	0.04426249316
189	0.04426152353
190	0.0442563553
191	0.04425005923
192	0.04424692425
193	0.04424403052
194	0.04424085215
195	0.04424050999
196	0.04423813399
197	0.04423673836
198	0.04423366258
199	0.04422482218
200	0.04422481592
201	0.04422366057
202	0.04421998713
203	0.0442181363
204	0.04421610431
205	0.04421164956
206	0.04420728333
207	0.04420727801
208	0.04420697985
209	0.04420343764
210	0.04420121573
211	0.04419324396
212	0.04418554418
213	0.04418452908
214	0.04418199171
215	0.04418129671
216	0.04418041298
217	0.04417241924
218	0.04416663623
219	0.04415839163
220	0.0441583836
221	0.04414831906
222	0.0441468288
223	0.04413951858
224	0.04413156014
225	0.04412637943
226	0.04412637362
227	0.04412314074
228	0.04412280811
229	0.04411974003
230	0.04411704116
231	0.04411244363
232	0.04410940323
233	0.04410456419
234	0.04410455933
235	0.04409817008
236	0.04409121105
237	0.04408985888
238	0.04408136501
239	0.0440754177
240	0.04407460119
241	0.04407365605
242	0.0440736532
243	0.04407289965
244	0.04407265546
245	0.04407144679
246	0.04407144565
247	0.04407144257
248	0.04406904936
249	0.04406435886
250	0.04406325359
251	0.04406175023
252	0.04405210523
253	0.04405119337
254	0.04404406159
255	0.04404234973
256	0.04404234107
257	0.04403824565
258	0.04403171655
259	0.04403103545
260	0.04402321824
261	0.04402040122
262	0.04401970868
263	0.04401928578
264	0.04401679233
265	0.0440162004
266	0.0440141822
267	0.04401416746
268	0.04399978171
269	0.04399891092
270	0.04399518356
271	0.04399188453
272	0.04398779319
273	0.04398570615
274	0.04398519525
275	0.04398445741
276	0.04398399232
277	0.04397600628
278	0.0439753184
279	0.04397447486
280	0.04396874858
281	0.04396787735
282	0.04396787103
283	0.04396784239
284	0.04396569961
285	0.0439638163
286	0.0439617231
287	0.04396109117
288	0.04395663549
289	0.04395339498
290	0.04394742809
291	0.04394449041
292	0.04394067624
293	0.04393712802
294	0.04393460962
295	0.04393099663
296	0.04392699316
297	0.04392698739
298	0.04392100781
299	0.04391770749
300	0.04391644439
301	0.04391578601
302	0.04391542039
303	0.0439072528
304	0.04390574047
305	0.0439020415
306	0.04390016609
