Feature,Importance
never_traded,34.265226368609305
vintage_months,18.701319768473613
ord_cash_log,16.2009702208234
recency,7.2149835516353775
current_age,6.717943021075163
Total_Margin_log,4.852140123959167
DP_Value_log,3.3894165418445756
Number_of_competition_account,3.2572846858633278
plan,2.49619070297631
Category_Bucket_final,1.6516057995208442
self_dealer_status,1.2529192152189057
